repo	keyword	count
codebase-memory	embedding	66
codebase-memory	lsp	25667
codebase-memory	language server	12
codebase-memory	call graph	49
codebase-memory	caller	2831
codebase-memory	callees	148
codebase-memory	subprocess	219
codebase-memory	child_process	2
codebase-memory	exec.Command	5
codebase-memory	Snakemake	0
codebase-memory	Nextflow	0
codebase-memory	Snakefile	0
codebase-memory	setMethod	0
codebase-memory	SCIP	22
codebase-memory	provenance	25
codebase-memory	confidence	360
codebase-memory	watcher	858
codebase-memory	PageRank	0
codebase-memory	repo map	1
codegraph	tree-sitter	349
codegraph	mcp	1389
codegraph	sqlite	269
codegraph	tantivy	0
codegraph	vector	22
codegraph	embedding	9
codegraph	lsp	10
codegraph	language server	0
codegraph	call graph	14
codegraph	caller	740
codegraph	callees	169
codegraph	subprocess	5
codegraph	child_process	39
codegraph	exec.Command	0
codegraph	Snakemake	0
codegraph	Nextflow	0
codegraph	Snakefile	0
codegraph	setMethod	7
codegraph	SCIP	5
codegraph	provenance	93
codegraph	confidence	184
codegraph	watcher	402
codegraph	PageRank	1
codegraph	repo map	0
coderag-bench	tree-sitter	0
coderag-bench	mcp	9981
coderag-bench	sqlite	10796
coderag-bench	tantivy	0
coderag-bench	vector	33266
coderag-bench	embedding	14726
coderag-bench	lsp	50507
coderag-bench	language server	11
coderag-bench	call graph	27
coderag-bench	caller	2842
coderag-bench	callees	22
coderag-bench	subprocess	5805
coderag-bench	child_process	23
coderag-bench	exec.Command	8
coderag-bench	Snakemake	12
coderag-bench	Nextflow	0
coderag-bench	Snakefile	2
coderag-bench	setMethod	8
coderag-bench	SCIP	8547
coderag-bench	provenance	7
coderag-bench	confidence	1165
coderag-bench	watcher	751
coderag-bench	PageRank	80
coderag-bench	repo map	0
graphify	tree-sitter	319
graphify	mcp	779
graphify	sqlite	96
graphify	tantivy	0
graphify	vector	20
graphify	embedding	29
graphify	lsp	8
graphify	language server	0
graphify	call graph	3
graphify	caller	447
graphify	callees	11
graphify	subprocess	141
graphify	child_process	0
graphify	exec.Command	0
graphify	Snakemake	0
graphify	Nextflow	0
graphify	Snakefile	0
graphify	setMethod	0
graphify	SCIP	371
graphify	provenance	3
graphify	confidence	13283
graphify	watcher	39
graphify	PageRank	2
graphify	repo map	0
repograph	tree-sitter	8
repograph	mcp	6
repograph	sqlite	0
repograph	tantivy	0
repograph	vector	9
repograph	embedding	0
repograph	lsp	6
repograph	language server	0
repograph	call graph	0
repograph	caller	8
repograph	callees	0
repograph	subprocess	66
repograph	child_process	0
repograph	exec.Command	0
repograph	Snakemake	0
repograph	Nextflow	0
repograph	Snakefile	0
repograph	setMethod	0
repograph	SCIP	0
repograph	provenance	0
repograph	confidence	0
repograph	watcher	16
repograph	PageRank	6
repograph	repo map	2
scip	tree-sitter	76
scip	mcp	4
scip	sqlite	62
scip	tantivy	0
scip	vector	169
scip	embedding	0
scip	lsp	90
scip	language server	0
scip	call graph	0
scip	caller	2
scip	callees	0
scip	subprocess	0
scip	child_process	0
scip	exec.Command	0
scip	Snakemake	0
scip	Nextflow	0
scip	Snakefile	0
scip	setMethod	0
scip	SCIP	6072
scip	provenance	0
scip	confidence	0
scip	watcher	0
scip	PageRank	0
scip	repo map	0
semantic-search-mcp	tree-sitter	26
semantic-search-mcp	mcp	315
semantic-search-mcp	sqlite	31
semantic-search-mcp	tantivy	0
semantic-search-mcp	vector	33
semantic-search-mcp	embedding	255
semantic-search-mcp	lsp	0
semantic-search-mcp	language server	0
semantic-search-mcp	call graph	0
semantic-search-mcp	caller	0
semantic-search-mcp	callees	0
semantic-search-mcp	subprocess	0
semantic-search-mcp	child_process	0
semantic-search-mcp	exec.Command	0
semantic-search-mcp	Snakemake	0
semantic-search-mcp	Nextflow	0
semantic-search-mcp	Snakefile	0
semantic-search-mcp	setMethod	0
semantic-search-mcp	SCIP	0
